# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       9.843362705416e-03       1.667788874082e-01      -6.821423923084e+02      -6.826183390594e+02       1.701126158593e-01      -4.681356814444e+02      -6.814155149627e+02       3.707724983725e-01       3.707724981237e-01 
       9.971866393108e-03       1.661782765945e-01      -6.975136703684e+02      -6.980116594993e+02       1.694998459843e-01      -4.762730418088e+02      -6.967691645721e+02       3.694183631883e-01       3.694183629551e-01 
       1.010041652291e-02       1.655793340908e-01      -7.129987128819e+02      -7.135194942552e+02       1.688887788235e-01      -4.843857712898e+02      -7.122365623015e+02       3.680680694050e-01       3.680680691858e-01 
       1.022901212007e-02       1.649820868258e-01      -7.285956159617e+02      -7.291399502112e+02       1.682794415304e-01      -4.924719977362e+02      -7.278158139235e+02       3.667216376838e-01       3.667216374773e-01 
       1.035765227513e-02       1.643865337349e-01      -7.443024554183e+02      -7.448711151372e+02       1.676718330570e-01      -5.005300420953e+02      -7.435050068609e+02       3.653790698923e-01       3.653790696972e-01 
       1.048633614051e-02       1.637926257476e-01      -7.601173305955e+02      -7.607111011823e+02       1.670659042865e-01      -5.085584681505e+02      -7.593022537507e+02       3.640403721972e-01       3.640403720124e-01 
       1.061506292734e-02       1.632004176042e-01      -7.760383156252e+02      -7.766579966645e+02       1.664617099694e-01      -5.165560390654e+02      -7.752056441837e+02       3.627055319402e-01       3.627055317647e-01 
       1.074383190249e-02       1.626098509691e-01      -7.920635223199e+02      -7.927099263847e+02       1.658591916407e-01      -5.245217789670e+02      -7.912133054117e+02       3.613745475696e-01       3.613745474025e-01 
       1.087264238587e-02       1.620209718268e-01      -8.081911339812e+02      -8.088650857472e+02       1.652583955669e-01      -5.324549710119e+02      -8.073234362499e+02       3.600474424698e-01       3.600474423105e-01 
       1.100149374788e-02       1.614337608409e-01      -8.244193186777e+02      -8.251216568694e+02       1.646593024415e-01      -5.403551021196e+02      -8.235342228931e+02       3.587242253743e-01       3.587242252219e-01 
       1.113038540703e-02       1.608482059451e-01      -8.407461341181e+02      -8.414777192064e+02       1.640618998260e-01      -5.482217815246e+02      -8.398437486986e+02       3.574048535767e-01       3.574048534307e-01 
       1.125931682780e-02       1.602642631871e-01      -8.571696080120e+02      -8.579313241882e+02       1.634661432157e-01      -5.560547740152e+02      -8.562500695150e+02       3.560892700747e-01       3.560892699345e-01 
